vent size,gas percentage,modified gp,velocity,independent,collapsed,buoyant,midpoint,%uncertainty,+/-,,
5000,0.0001,0,500,vent size,153,152.9,,,1.5E+02,,
1,0.0001,0,500,vent size,153,152.9,,,1.5E+02,,
1,0.0001,0,500,velocity,31.51,31.52,,,,,
1,0.0001,0,1,velocity,31.51,31.52,,,,,
5000,1,0,500,gas mass frac,0.0665,0.0666,,,,,
5000,1,0,1,gas mass frac,0.1514,0.1515,,,,,
5000,0.0001,0,500,gas mass frac,0.0665,0.0666,,,,,
1,1,0,1,gas mass frac,0.1283,0.1284,,,,,
5000,0.0001,0,1,gas mass frac,0.1514,0.1515,,,,,
1,0.0001,0,1,gas mass frac,0.1283,0.1284,,,,,
